sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443481,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443482,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443483,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443484,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443485,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443486,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443487,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443488,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443489,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443490,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443492,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443493,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443494,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443495,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443496,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443497,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443498,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443499,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443500,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443501,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443502,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443503,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443505,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443506,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443507,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443508,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443509,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443510,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443511,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
